"Date","Currency","Mean","Buy","Sell"
"04/01/2024","US DOLLAR","157.3912","157.0000","157.7824"
"03/01/2024","US DOLLAR","157.3235","156.9529","157.6941"
"02/01/2024","US DOLLAR","156.9853","156.5000","157.4706"
"29/12/2023","US DOLLAR","156.4618","156.0118","156.9118"
"28/12/2023","US DOLLAR","156.0941","155.6588","156.5294"
"27/12/2023","US DOLLAR","155.4706","155.1029","155.8382"
"22/12/2023","US DOLLAR","155.0853","154.7294","155.4412"
"21/12/2023","US DOLLAR","154.6853","154.3529","155.0176"
"20/12/2023","US DOLLAR","154.3868","154.0441","154.7294"
"19/12/2023","US DOLLAR","154.1647","153.7676","154.5618"
"18/12/2023","US DOLLAR","153.7794","153.5059","154.0529"
"15/12/2023","US DOLLAR","153.7382","153.4824","153.9941"
"14/12/2023","US DOLLAR","153.3735","153.2735","153.4735"
"13/12/2023","US DOLLAR","153.3471","153.2471","153.4471"
"11/12/2023","US DOLLAR","153.3412","153.2412","153.4412"
"08/12/2023","US DOLLAR","153.3382","153.2382","153.4382"
"07/12/2023","US DOLLAR","153.3235","153.2235","153.4235"
"06/12/2023","US DOLLAR","153.2882","153.1882","153.3882"
"05/12/2023","US DOLLAR","153.2765","153.1765","153.3765"
"04/12/2023","US DOLLAR","153.2412","153.1412","153.3412"
"01/12/2023","US DOLLAR","153.2353","153.1353","153.3353"
"30/11/2023","US DOLLAR","153.1500","153.0500","153.2500"
"29/11/2023","US DOLLAR","153.0618","152.9618","153.1618"
"28/11/2023","US DOLLAR","152.9706","152.8706","153.0706"
"27/11/2023","US DOLLAR","152.9029","152.8029","153.0029"
"24/11/2023","US DOLLAR","152.8147","152.7147","152.9147"
"23/11/2023","US DOLLAR","152.6912","152.5912","152.7912"
"22/11/2023","US DOLLAR","152.5529","152.4529","152.6529"
"21/11/2023","US DOLLAR","152.4471","152.3471","152.5471"
"20/11/2023","US DOLLAR","152.3382","152.2382","152.4382"
"17/11/2023","US DOLLAR","152.2265","152.1265","152.3265"
"16/11/2023","US DOLLAR","152.1088","152.0088","152.2088"
"15/11/2023","US DOLLAR","151.9353","151.8353","152.0353"
"14/11/2023","US DOLLAR","151.8382","151.7382","151.9382"
"10/11/2023","US DOLLAR","151.6794","151.5794","151.7794"
"09/11/2023","US DOLLAR","151.5324","151.4324","151.6324"
"08/11/2023","US DOLLAR","151.3794","151.2794","151.4794"
"07/11/2023","US DOLLAR","151.2676","151.1676","151.3676"
"06/11/2023","US DOLLAR","151.1647","151.0647","151.2647"
"03/11/2023","US DOLLAR","151.0588","150.9588","151.1588"
"02/11/2023","US DOLLAR","150.8588","150.7588","150.9588"
"01/11/2023","US DOLLAR","150.7029","150.6029","150.8029"
"31/10/2023","US DOLLAR","150.5588","150.4588","150.6588"
"30/10/2023","US DOLLAR","150.4588","150.3588","150.5588"
"27/10/2023","US DOLLAR","150.3618","150.2618","150.4618"
"26/10/2023","US DOLLAR","150.2735","150.1735","150.3735"
"25/10/2023","US DOLLAR","150.1706","150.0706","150.2706"
"24/10/2023","US DOLLAR","150.0735","149.9735","150.1735"
"23/10/2023","US DOLLAR","149.9441","149.8441","150.0441"
"19/10/2023","US DOLLAR","149.7882","149.6882","149.8882"
"18/10/2023","US DOLLAR","149.5824","149.4824","149.6824"
"17/10/2023","US DOLLAR","149.4382","149.3382","149.5382"
"16/10/2023","US DOLLAR","149.2706","149.1706","149.3706"
"13/10/2023","US DOLLAR","149.1324","149.0324","149.2324"
"12/10/2023","US DOLLAR","149.0059","148.9059","149.1059"
"11/10/2023","US DOLLAR","148.8824","148.7824","148.9824"
"09/10/2023","US DOLLAR","148.7941","148.6941","148.8941"
"06/10/2023","US DOLLAR","148.6882","148.5882","148.7882"
"05/10/2023","US DOLLAR","148.5647","148.4647","148.6647"
"04/10/2023","US DOLLAR","148.4500","148.3500","148.5500"
"03/10/2023","US DOLLAR","148.3176","148.2176","148.4176"
"02/10/2023","US DOLLAR","148.2015","148.1029","148.3000"
"29/09/2023","US DOLLAR","148.1000","148.0000","148.2000"
"28/09/2023","US DOLLAR","147.9412","147.8412","148.0412"
"27/09/2023","US DOLLAR","147.8088","147.7088","147.9088"
"26/09/2023","US DOLLAR","147.6412","147.5412","147.7412"
"25/09/2023","US DOLLAR","147.4706","147.3706","147.5706"
"22/09/2023","US DOLLAR","147.3559","147.2559","147.4559"
"21/09/2023","US DOLLAR","147.2647","147.1647","147.3647"
"20/09/2023","US DOLLAR","147.1412","147.0412","147.2412"
"19/09/2023","US DOLLAR","147.0059","146.9059","147.1059"
"18/09/2023","US DOLLAR","146.9059","146.8059","147.0059"
"15/09/2023","US DOLLAR","146.7918","146.6918","146.8918"
"14/09/2023","US DOLLAR","146.6588","146.5588","146.7588"
"13/09/2023","US DOLLAR","146.4912","146.3912","146.5912"
"12/09/2023","US DOLLAR","146.3618","146.2618","146.4618"
"11/09/2023","US DOLLAR","146.2206","146.1206","146.3206"
"08/09/2023","US DOLLAR","146.1353","146.0353","146.2353"
"07/09/2023","US DOLLAR","146.0412","145.9412","146.1412"
"06/09/2023","US DOLLAR","145.9147","145.8147","146.0147"
"05/09/2023","US DOLLAR","145.7559","145.6559","145.8559"
"04/09/2023","US DOLLAR","145.6324","145.5324","145.7324"
"01/09/2023","US DOLLAR","145.5088","145.4088","145.6088"
"31/08/2023","US DOLLAR","145.4059","145.3059","145.5059"
"30/08/2023","US DOLLAR","145.2618","145.1618","145.3618"
"29/08/2023","US DOLLAR","145.1500","145.0500","145.2500"
"28/08/2023","US DOLLAR","144.9941","144.8941","145.0941"
"25/08/2023","US DOLLAR","144.8735","144.7735","144.9735"
"24/08/2023","US DOLLAR","144.7176","144.6176","144.8176"
"23/08/2023","US DOLLAR","144.5559","144.4559","144.6559"
"22/08/2023","US DOLLAR","144.4059","144.3059","144.5059"
"21/08/2023","US DOLLAR","144.3176","144.2176","144.4176"
"18/08/2023","US DOLLAR","144.1824","144.0824","144.2824"
"17/08/2023","US DOLLAR","144.0441","143.9441","144.1441"
"16/08/2023","US DOLLAR","143.9088","143.8088","144.0088"
"15/08/2023","US DOLLAR","143.7588","143.6588","143.8588"
"14/08/2023","US DOLLAR","143.6088","143.5088","143.7088"
"11/08/2023","US DOLLAR","143.5765","143.4765","143.6765"
"10/08/2023","US DOLLAR","143.4441","143.3441","143.5441"
"09/08/2023","US DOLLAR","143.2735","143.1735","143.3735"
"08/08/2023","US DOLLAR","143.1176","143.0176","143.2176"
"07/08/2023","US DOLLAR","142.9882","142.8882","143.0882"
"04/08/2023","US DOLLAR","142.8868","142.7882","142.9853"
"03/08/2023","US DOLLAR","142.7765","142.6765","142.8765"
"02/08/2023","US DOLLAR","142.6412","142.5412","142.7412"
"01/08/2023","US DOLLAR","142.5265","142.4265","142.6265"
"31/07/2023","US DOLLAR","142.3647","142.2647","142.4647"
"28/07/2023","US DOLLAR","142.2971","142.1971","142.3971"
"27/07/2023","US DOLLAR","142.2000","142.1000","142.3000"
"26/07/2023","US DOLLAR","142.1176","142.0176","142.2176"
"25/07/2023","US DOLLAR","141.9985","141.9000","142.0971"
"24/07/2023","US DOLLAR","141.8426","141.7441","141.9412"
"21/07/2023","US DOLLAR","141.7747","141.6747","141.8747"
"20/07/2023","US DOLLAR","141.6971","141.5971","141.7971"
"19/07/2023","US DOLLAR","141.5912","141.4912","141.6912"
"18/07/2023","US DOLLAR","141.4971","141.3971","141.5971"
"17/07/2023","US DOLLAR","141.4412","141.3412","141.5412"
"14/07/2023","US DOLLAR","141.3824","141.2824","141.4824"
"13/07/2023","US DOLLAR","141.2853","141.1853","141.3853"
"12/07/2023","US DOLLAR","141.2088","141.1088","141.3088"
"11/07/2023","US DOLLAR","141.0647","140.9647","141.1647"
"10/07/2023","US DOLLAR","140.9853","140.8853","141.0853"
"07/07/2023","US DOLLAR","140.9206","140.8206","141.0206"
"06/07/2023","US DOLLAR","140.7824","140.6824","140.8824"
"05/07/2023","US DOLLAR","140.7235","140.6235","140.8235"
"04/07/2023","US DOLLAR","140.6735","140.5735","140.7735"
"03/07/2023","US DOLLAR","140.5735","140.4735","140.6735"
"30/06/2023","US DOLLAR","140.5235","140.4235","140.6235"
"29/06/2023","US DOLLAR","140.4500","140.3500","140.5500"
"27/06/2023","US DOLLAR","140.4441","140.3441","140.5441"
"26/06/2023","US DOLLAR","140.4412","140.3412","140.5412"
"23/06/2023","US DOLLAR","140.4029","140.3029","140.5029"
"22/06/2023","US DOLLAR","140.3059","140.2059","140.4059"
"21/06/2023","US DOLLAR","140.2000","140.1000","140.3000"
"20/06/2023","US DOLLAR","140.1206","140.0206","140.2206"
"19/06/2023","US DOLLAR","140.0412","139.9412","140.1412"
"16/06/2023","US DOLLAR","139.8706","139.7706","139.9706"
"15/06/2023","US DOLLAR","139.7118","139.6118","139.8118"
"14/06/2023","US DOLLAR","139.6276","139.5276","139.7276"
"13/06/2023","US DOLLAR","139.4776","139.3776","139.5776"
"12/06/2023","US DOLLAR","139.3500","139.2500","139.4500"
"09/06/2023","US DOLLAR","139.2235","139.1235","139.3235"
"08/06/2023","US DOLLAR","139.1124","139.0124","139.2124"
"07/06/2023","US DOLLAR","138.9676","138.8676","139.0676"
"06/06/2023","US DOLLAR","138.8735","138.7735","138.9735"
"05/06/2023","US DOLLAR","138.7559","138.6559","138.8559"
"02/06/2023","US DOLLAR","138.6088","138.5088","138.7088"
"31/05/2023","US DOLLAR","138.4912","138.3912","138.5912"
"30/05/2023","US DOLLAR","138.4176","138.3176","138.5176"
