Date, Open, High, Low, Close, Volume
08/13/24, 14.80, 15.00, 14.55, 14.65, 5494700
08/12/24, 14.80, 15.00, 14.70, 14.80, 8245700
08/09/24, 14.80, 15.00, 14.75, 14.80, 1643200
08/08/24, 14.80, 14.90, 14.65, 14.75, 9072900
08/07/24, 14.85, 14.95, 14.50, 14.70, 3229000
08/06/24, 14.95, 15.00, 14.50, 14.85, 4266600
08/05/24, 15.00, 15.00, 14.20, 14.40, 12414600
08/02/24, 15.15, 15.35, 14.95, 15.05, 14638300
08/01/24, 15.80, 15.80, 15.10, 15.35, 1895000
07/31/24, 15.80, 16.00, 15.70, 15.90, 883400
07/30/24, 15.70, 16.50, 15.60, 16.00, 5675600
07/29/24, 15.45, 16.00, 15.20, 15.30, 3487600
07/26/24, 15.50, 15.50, 15.05, 15.10, 25624900
07/25/24, 15.80, 15.95, 15.05, 15.55, 21303400
07/24/24, 16.20, 16.20, 15.55, 15.95, 5218800
07/23/24, 16.30, 16.30, 16.00, 16.15, 6812200
07/22/24, 16.45, 16.45, 16.20, 16.20, 5541900
07/19/24, 16.45, 16.45, 16.30, 16.40, 432500
07/18/24, 16.80, 16.90, 16.30, 16.45, 1016500
07/17/24, 17.00, 17.00, 16.60, 16.75, 1146200
07/16/24, 17.05, 17.15, 16.95, 17.00, 928800
07/15/24, 17.05, 17.15, 16.95, 17.00, 11160600
07/12/24, 17.05, 17.15, 17.05, 17.05, 6048400
07/11/24, 17.00, 17.20, 17.00, 17.05, 6594100
07/10/24, 17.25, 17.30, 16.90, 17.10, 1644600
07/09/24, 17.35, 17.50, 17.20, 17.30, 2397400
07/08/24, 17.30, 17.50, 17.20, 17.30, 5022400
07/05/24, 17.10, 17.50, 17.10, 17.30, 2170700
07/04/24, 17.80, 17.80, 17.10, 17.20, 5027500
07/03/24, 17.40, 17.50, 17.30, 17.35, 6918000
07/02/24, 17.50, 17.70, 17.30, 17.40, 5078000
07/01/24, 17.30, 17.80, 17.30, 17.45, 1359700
